,index,winner_name,winner_hand,winner_ht,winner_age,score,tourney_name,minutes,loser_name,loser_hand,loser_ht,loser_age,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Iga Swiatek,R,176.0,22.5,4-6 6-1 6-1,United Cup,106.0,Caroline Garcia,R,177.0,30.2,1.0,9505.0,20.0,2330.0
1,7,Iga Swiatek,R,176.0,22.5,6-2 6-1,United Cup,88.0,Sara Sorribes Tormo,R,176.0,27.2,1.0,9505.0,53.0,1126.0
2,8,Iga Swiatek,R,176.0,22.5,6-2 6-2,United Cup,77.0,Beatriz Haddad Maia,L,185.0,27.5,1.0,9505.0,11.0,2940.0
3,9,Beatriz Haddad Maia,L,185.0,27.5,7-6(1) 6-2,United Cup,126.0,Sara Sorribes Tormo,R,176.0,27.2,11.0,2940.0,53.0,1126.0
4,10,Maria Sakkari,R,172.0,28.4,7-6(2) 6-3,United Cup,135.0,Leylah Fernandez,L,168.0,21.3,8.0,3785.0,34.0,1385.0
7,13,Katie Boulter,R,180.0,27.4,5-7 6-4 6-4,United Cup,164.0,Jessica Pegula,R,170.0,29.8,57.0,1075.0,5.0,6180.0
8,14,Jessica Pegula,R,170.0,29.8,7-6(6) 6-3,United Cup,113.0,Ajla Tomljanovic,R,180.0,30.6,5.0,6180.0,292.0,246.0
9,15,Katie Boulter,R,180.0,27.4,6-2 6-4,United Cup,93.0,Ajla Tomljanovic,R,180.0,30.6,57.0,1075.0,292.0,246.0
10,16,Caroline Garcia,R,177.0,30.2,6-4 5-7 6-4,United Cup,136.0,Jasmine Paolini,R,160.0,27.9,20.0,2330.0,29.0,1530.0
11,22,Donna Vekic,R,179.0,27.5,6-2 3-6 6-1,United Cup,112.0,Arantxa Rus,L,180.0,33.0,24.0,1905.0,51.0,1149.0
12,25,Elena Rybakina,R,184.0,24.5,6-0 6-3,Brisbane,73.0,Aryna Sabalenka,R,182.0,25.6,4.0,6366.0,2.0,9050.0
13,26,Aryna Sabalenka,R,182.0,25.6,6-2 6-4,Brisbane,89.0,Victoria Azarenka,R,180.0,34.4,2.0,9050.0,23.0,1916.0
14,28,Aryna Sabalenka,R,182.0,25.6,6-1 6-4,Brisbane,86.0,Daria Kasatkina,R,170.0,26.6,2.0,9050.0,18.0,2715.0
15,29,Victoria Azarenka,R,180.0,34.4,6-3 3-6 7-5,Brisbane,150.0,Jelena Ostapenko,R,177.0,26.5,23.0,1916.0,12.0,2830.0
16,32,Aryna Sabalenka,R,182.0,25.6,6-1 6-0,Brisbane,69.0,Lin Zhu,R,173.0,29.9,2.0,9050.0,33.0,1420.0
17,33,Daria Kasatkina,R,170.0,26.6,6-4 6-2,Brisbane,88.0,Magda Linette,R,171.0,31.8,18.0,2715.0,22.0,1921.0
18,34,Jelena Ostapenko,R,177.0,26.5,6-2 4-6 6-3,Brisbane,137.0,Karolina Pliskova,R,184.0,31.7,12.0,2830.0,39.0,1287.0
19,35,Victoria Azarenka,R,180.0,34.4,7-5 6-2,Brisbane,93.0,Clara Burel,R,176.0,22.7,23.0,1916.0,56.0,1081.0
20,38,Anastasia Potapova,R,175.0,22.7,7-5 6-7(7) 6-4,Brisbane,206.0,Veronika Kudermetova,R,175.0,26.6,28.0,1611.0,16.0,2720.0
21,39,Elena Rybakina,R,184.0,24.5,6-1 6-0,Brisbane,56.0,Elise Mertens,R,179.0,28.1,4.0,6366.0,30.0,1506.0
22,41,Lin Zhu,R,173.0,29.9,1-6 6-3 7-6(7),Brisbane,148.0,Danielle Collins,R,178.0,30.0,33.0,1420.0,54.0,1090.0
23,43,Daria Kasatkina,R,170.0,26.6,6-3 6-4,Brisbane,88.0,Marta Kostyuk,R,175.0,21.5,18.0,2715.0,38.0,1316.0
24,44,Jelena Ostapenko,R,177.0,26.5,6-1 6-4,Brisbane,79.0,Camila Giorgi,R,168.0,32.0,12.0,2830.0,55.0,1089.0
25,46,Clara Burel,R,176.0,22.7,6-4 6-1,Brisbane,81.0,Anhelina Kalinina,R,179.0,26.8,56.0,1081.0,27.0,1630.0
26,47,Victoria Azarenka,R,180.0,34.4,6-1 7-6(8),Brisbane,132.0,Anna Kalinskaya,R,175.0,25.0,23.0,1916.0,80.0,887.0
27,50,Arina Rodionova,R,168.0,34.0,7-5 7-6(7),Brisbane,145.0,Sofia Kenin,R,170.0,25.1,113.0,677.0,37.0,1334.0
28,52,Veronika Kudermetova,R,175.0,26.6,6-2 6-3,Brisbane,74.0,Anna Karolina Schmiedlova,R,176.0,29.3,16.0,2720.0,73.0,918.0
29,53,Anastasia Potapova,R,175.0,22.7,6-4 3-6 6-4,Brisbane,172.0,Daria Saville,R,166.0,29.8,28.0,1611.0,209.0,366.0
30,54,Elise Mertens,R,179.0,28.1,2-6 6-1 6-3,Brisbane,101.0,Sloane Stephens,R,170.0,30.7,30.0,1506.0,44.0,1200.0
31,59,Marta Kostyuk,R,175.0,21.5,4-6 6-3 6-3,Brisbane,124.0,Ana Bogdan,R,171.0,31.0,38.0,1316.0,66.0,956.0
32,63,Anna Kalinskaya,R,175.0,25.0,6-2 6-1,Brisbane,57.0,Bernarda Pera,L,175.0,29.0,80.0,887.0,69.0,943.0
33,66,Arina Rodionova,R,168.0,34.0,6-3 6-2,Brisbane,87.0,Martina Trevisan,L,160.0,30.1,113.0,677.0,46.0,1189.0
34,68,Anna Karolina Schmiedlova,R,176.0,29.3,3-6 6-4 6-2,Brisbane,145.0,Caroline Dolehide,R,178.0,25.3,73.0,918.0,45.0,1193.0
35,69,Daria Saville,R,166.0,29.8,6-0 6-4,Brisbane,90.0,Dayana Yastremska,R,175.0,23.6,209.0,366.0,98.0,767.0
36,70,Sloane Stephens,R,170.0,30.7,7-5 6-3,Brisbane,102.0,Katerina Siniakova,R,174.0,27.6,44.0,1200.0,50.0,1162.0
37,72,Coco Gauff,R,175.0,19.8,6-7(4) 6-3 6-3,Auckland,155.0,Elina Svitolina,R,174.0,29.3,3.0,6690.0,25.0,1809.0
38,78,Elina Svitolina,R,174.0,29.3,6-0 6-3,Auckland,65.0,Marie Bouzkova,R,180.0,25.4,25.0,1809.0,36.0,1353.0
39,82,Petra Martic,R,181.0,32.9,6-2 6-2,Auckland,74.0,Yue Yuan,R,184.0,25.2,41.0,1264.0,77.0,903.0
40,84,Diane Parry,R,170.0,21.3,2-6 6-4 6-1,Auckland,110.0,Lesia Tsurenko,R,174.0,34.5,76.0,904.0,32.0,1451.0
41,85,Marie Bouzkova,R,180.0,25.4,6-0 6-1,Auckland,52.0,Amanda Anisimova,R,180.0,22.3,36.0,1353.0,373.0,169.0
42,86,Elina Svitolina,R,174.0,29.3,6-7(5) 7-6(3) 6-1,Auckland,169.0,Emma Raducanu,R,175.0,21.1,25.0,1809.0,301.0,231.0
43,87,Coco Gauff,R,175.0,19.8,6-4 6-2,Auckland,82.0,Claire Liu,R,170.0,23.6,3.0,6690.0,95.0,797.0
44,93,Yue Yuan,R,184.0,25.2,7-6(1) 6-7(5) 6-1,Auckland,174.0,Kayla Day,L,173.0,24.2,77.0,903.0,89.0,825.0
45,94,Petra Martic,R,181.0,32.9,3-6 6-3 6-3,Auckland,136.0,Rebeka Masarova,R,186.0,24.4,41.0,1264.0,65.0,982.0
46,95,Xin Yu Wang,R,182.0,22.2,6-4 7-5,Auckland,103.0,Yulia Putintseva,R,163.0,28.9,35.0,1383.0,63.0,1002.0
47,98,Lesia Tsurenko,R,174.0,34.5,7-5 6-4,Auckland,88.0,Sachia Vickery,R,162.0,28.6,32.0,1451.0,143.0,537.0
48,99,Marie Bouzkova,R,180.0,25.4,6-0 3-6 6-4,Auckland,134.0,Magdalena Frech,R,171.0,26.0,36.0,1353.0,70.0,937.0
49,100,Amanda Anisimova,R,180.0,22.3,7-5 6-4,Auckland,115.0,Anastasia Pavlyuchenkova,R,177.0,32.4,373.0,169.0,60.0,1045.0
50,102,Elina Svitolina,R,174.0,29.3,6-4 6-3,Auckland,104.0,Caroline Wozniacki,R,177.0,33.4,25.0,1809.0,256.0,301.0
51,103,Jelena Ostapenko,R,177.0,26.5,6-3 6-2,Adelaide,74.0,Daria Kasatkina,R,170.0,26.6,12.0,2883.0,15.0,2758.0
52,104,Jelena Ostapenko,R,177.0,26.5,6-2 7-6(3),Adelaide,101.0,Ekaterina Alexandrova,R,175.0,29.1,12.0,2883.0,21.0,2075.0
53,106,Ekaterina Alexandrova,R,175.0,29.1,6-3 6-3,Adelaide,90.0,Elena Rybakina,R,184.0,24.5,21.0,2075.0,3.0,6811.0
54,107,Jelena Ostapenko,R,177.0,26.5,7-5 6-3,Adelaide,92.0,Marta Kostyuk,R,175.0,21.5,12.0,2883.0,41.0,1223.0
55,109,Jessica Pegula,R,170.0,29.8,6-7(1) 7-5 6-4,Adelaide,146.0,Anastasia Pavlyuchenkova,R,177.0,32.5,5.0,5905.0,59.0,1046.0
56,111,Ekaterina Alexandrova,R,175.0,29.1,6-4 6-4,Adelaide,98.0,Veronika Kudermetova,R,175.0,26.7,21.0,2075.0,16.0,2680.0
57,112,Marta Kostyuk,R,175.0,21.5,6-3 2-6 6-4,Adelaide,134.0,Taylor Townsend,L,170.0,27.7,41.0,1223.0,80.0,870.0
58,113,Jelena Ostapenko,R,177.0,26.5,6-4 5-7 6-4,Adelaide,161.0,Caroline Garcia,R,177.0,30.2,12.0,2883.0,20.0,2330.0
59,114,Laura Siegemund,R,168.0,35.8,6-4 7-5,Adelaide,113.0,Ana Bogdan,R,171.0,31.1,89.0,814.0,66.0,956.0
60,115,Daria Kasatkina,R,170.0,26.6,5-7 6-4 7-5,Adelaide,171.0,Anna Kalinskaya,R,175.0,25.1,15.0,2758.0,75.0,918.0
61,116,Anastasia Pavlyuchenkova,R,177.0,32.5,2-6 6-3 6-2,Adelaide,124.0,Katerina Siniakova,R,174.0,27.6,59.0,1046.0,49.0,1150.0
62,117,Jessica Pegula,R,170.0,29.8,4-6 6-2 6-3,Adelaide,132.0,Bernarda Pera,L,175.0,29.0,5.0,5905.0,69.0,943.0
63,119,Ekaterina Alexandrova,R,175.0,29.1,3-6 7-6(8) 7-5,Adelaide,163.0,Magda Linette,R,171.0,31.9,21.0,2075.0,24.0,1896.0
64,120,Veronika Kudermetova,R,175.0,26.7,6-2 7-5,Adelaide,98.0,Ashlyn Krueger,R,185.0,19.6,16.0,2680.0,78.0,896.0
65,121,Taylor Townsend,L,170.0,27.7,6-3 7-6(4),Adelaide,116.0,Aliaksandra Sasnovich,R,174.0,29.7,80.0,870.0,83.0,831.0
66,122,Marta Kostyuk,R,175.0,21.5,7-6(3) 6-1,Adelaide,86.0,Anhelina Kalinina,R,179.0,26.9,41.0,1223.0,28.0,1630.0
67,124,Jelena Ostapenko,R,177.0,26.5,2-6 6-2 6-4,Adelaide,118.0,Sorana Cirstea,R,176.0,33.7,12.0,2883.0,26.0,1746.0
68,125,Laura Siegemund,R,168.0,35.8,6-7(1) 6-4 6-4,Adelaide,173.0,Liudmila Samsonova,R,180.0,25.1,89.0,814.0,14.0,2760.0
69,126,Ana Bogdan,R,171.0,31.1,6-3 6-4,Adelaide,106.0,Katie Boulter,R,180.0,27.4,66.0,956.0,57.0,1085.0
70,127,Daria Kasatkina,R,170.0,26.6,6-4 6-3,Adelaide,107.0,Claire Liu,R,170.0,23.6,15.0,2758.0,104.0,730.0
71,128,Anna Kalinskaya,R,175.0,25.1,7-5 3-6 7-5,Adelaide,172.0,Barbora Krejcikova,R,178.0,28.0,75.0,918.0,10.0,2945.0
72,129,Anastasia Pavlyuchenkova,R,177.0,32.5,6-3 6-4,Adelaide,97.0,Beatriz Haddad Maia,L,185.0,27.6,59.0,1046.0,11.0,2920.0
73,130,Katerina Siniakova,R,174.0,27.6,6-2 6-1,Adelaide,72.0,Karolina Pliskova,R,184.0,31.8,49.0,1150.0,37.0,1346.0
74,131,Bernarda Pera,L,175.0,29.0,3-6 6-2 6-3,Adelaide,119.0,Paula Badosa,R,180.0,26.1,69.0,943.0,74.0,922.0
75,133,Elise Mertens,R,179.0,28.1,6-4 4-6 7-5,Hobart,178.0,Daria Saville,R,166.0,29.8,29.0,1551.0,195.0,398.0
76,135,Elise Mertens,R,179.0,28.1,7-5 6-0,Hobart,97.0,Arantxa Rus,L,180.0,33.0,29.0,1551.0,50.0,1149.0
77,136,Daria Saville,R,166.0,29.8,3-6 6-1 6-4,Hobart,139.0,Lin Zhu,R,173.0,29.9,195.0,398.0,33.0,1420.0
78,137,Yue Yuan,R,184.0,25.2,7-5 7-6(4),Hobart,142.0,Yulia Putintseva,R,163.0,29.0,73.0,925.0,64.0,1002.0
79,139,Elise Mertens,R,179.0,28.1,6-2 6-3,Hobart,76.0,Anna Karolina Schmiedlova,R,176.0,29.3,29.0,1551.0,67.0,949.0
80,141,Lin Zhu,R,173.0,29.9,5-7 6-3 6-4,Hobart,133.0,Caroline Dolehide,R,178.0,25.3,33.0,1420.0,44.0,1193.0
81,142,Daria Saville,R,166.0,29.8,7-6(3) 6-1,Hobart,97.0,Sofia Kenin,R,170.0,25.1,195.0,398.0,38.0,1305.0
82,143,Yulia Putintseva,R,163.0,29.0,6-4 1-6 6-3,Hobart,138.0,Marie Bouzkova,R,180.0,25.4,64.0,1002.0,35.0,1382.0
83,144,Yue Yuan,R,184.0,25.2,7-5 6-3,Hobart,82.0,Xin Yu Wang,R,182.0,22.2,73.0,925.0,34.0,1395.0
84,145,Viktoriya Tomova,R,170.0,28.8,6-0 6-1,Hobart,59.0,Tatjana Maria,R,172.0,36.4,77.0,906.0,42.0,1215.0
85,147,Elise Mertens,R,179.0,28.1,6-2 6-3,Hobart,74.0,Danielle Collins,R,178.0,30.0,29.0,1551.0,54.0,1121.0
86,148,Anna Karolina Schmiedlova,R,176.0,29.3,1-6 7-6(4) 7-5,Hobart,152.0,Camila Osorio,R,162.0,22.0,67.0,949.0,79.0,876.0
87,152,Caroline Dolehide,R,178.0,25.3,6-1 6-4,Hobart,75.0,Mayar Sherif,R,180.0,27.6,44.0,1193.0,58.0,1053.0
88,153,Daria Saville,R,166.0,29.8,3-6 6-4 6-4,Hobart,136.0,Anna Blinkova,R,179.0,25.3,195.0,398.0,46.0,1170.0
89,155,Marie Bouzkova,R,180.0,25.4,6-2 6-4,Hobart,95.0,Viktorija Golubic,R,169.0,31.2,35.0,1382.0,90.0,812.0
90,157,Yue Yuan,R,184.0,25.2,6-4 3-6 7-6(5),Hobart,170.0,Sloane Stephens,R,170.0,30.8,73.0,925.0,43.0,1202.0
91,160,Viktoriya Tomova,R,170.0,28.8,6-3 6-3,Hobart,104.0,Martina Trevisan,L,160.0,30.1,77.0,906.0,60.0,1045.0
92,161,Magdalena Frech,R,171.0,26.0,0-6 6-1 6-4,Hobart,166.0,Sara Sorribes Tormo,R,176.0,27.2,72.0,937.0,53.0,1126.0
93,163,Iga Swiatek,R,176.0,22.6,7-6(2) 6-2,Australian Open,111.0,Sofia Kenin,R,170.0,25.1,1.0,9880.0,41.0,1225.0
94,164,Danielle Collins,R,178.0,30.0,6-2 3-6 6-1,Australian Open,112.0,Angelique Kerber,L,173.0,35.9,62.0,1022.0,655.0,60.0
95,168,Viktoriya Tomova,R,170.0,28.8,6-4 6-2,Australian Open,112.0,Kayla Day,L,173.0,24.2,70.0,957.0,86.0,825.0
96,169,Katerina Siniakova,R,174.0,27.6,6-2 7-5,Australian Open,87.0,Jaqueline Cristian,R,180.0,25.6,49.0,1155.0,83.0,831.0
97,170,Viktorija Golubic,R,169.0,31.2,7-6(4) 1-6 6-1,Australian Open,141.0,Veronika Kudermetova,R,175.0,26.7,85.0,829.0,17.0,2555.0
98,171,Jelena Ostapenko,R,177.0,26.6,7-6(5) 6-1,Australian Open,100.0,Kimberly Birrell,R,170.0,25.7,10.0,3328.0,116.0,671.0
99,172,Ajla Tomljanovic,R,180.0,30.6,7-6(3) 4-6 6-4,Australian Open,174.0,Petra Martic,R,181.0,32.9,271.0,271.0,40.0,1283.0
100,174,Victoria Azarenka,R,180.0,34.4,6-1 4-6 6-3,Australian Open,146.0,Camila Giorgi,R,168.0,32.0,22.0,2011.0,53.0,1120.0
101,178,Dayana Yastremska,R,175.0,23.6,6-1 6-2,Australian Open,76.0,Marketa Vondrousova,L,173.0,24.5,93.0,777.0,7.0,3966.0
102,179,Elena Rybakina,R,184.0,24.5,7-6(6) 6-4,Australian Open,93.0,Karolina Pliskova,R,184.0,31.8,3.0,6918.0,38.0,1322.0
103,181,Tatjana Maria,R,172.0,36.4,7-5 6-7(4) 6-4,Australian Open,171.0,Camila Osorio,R,162.0,22.0,42.0,1215.0,77.0,893.0
104,183,Arantxa Rus,L,180.0,33.0,6-1 6-0,Australian Open,87.0,Anhelina Kalinina,R,179.0,26.9,45.0,1188.0,30.0,1600.0
105,188,Katie Boulter,R,180.0,27.4,7-5 7-6(1),Australian Open,115.0,Yue Yuan,R,184.0,25.3,54.0,1109.0,61.0,1028.0
106,189,Emma Raducanu,R,175.0,21.1,6-3 6-2,Australian Open,76.0,Shelby Rogers,R,175.0,31.2,296.0,231.0,161.0,476.0
107,190,Yafan Wang,R,170.0,29.7,0-6 7-5 6-2,Australian Open,117.0,Sorana Cirstea,R,176.0,33.7,94.0,771.0,27.0,1722.0
108,193,Clara Burel,R,176.0,22.8,6-4 6-1,Australian Open,65.0,Aleksandra Krunic,R,163.0,30.8,51.0,1140.0,687.0,53.0
109,194,Jessica Pegula,R,170.0,29.8,6-2 6-4,Australian Open,65.0,Rebecca Marino,R,183.0,33.0,5.0,6065.0,182.0,425.0
110,195,Maria Sakkari,R,172.0,28.4,6-4 6-1,Australian Open,71.0,Nao Hibino,R,163.0,29.1,8.0,3770.0,88.0,808.0
111,197,Marta Kostyuk,R,175.0,21.5,6-3 4-6 6-1,Australian Open,123.0,Claire Liu,R,170.0,23.6,37.0,1330.0,99.0,742.0
112,203,Caroline Garcia,R,177.0,30.2,6-4 7-6(2),Australian Open,86.0,Naomi Osaka,R,180.0,26.2,19.0,2330.0,831.0,32.0
113,204,Magdalena Frech,R,171.0,26.0,6-7(5) 6-3 7-5,Australian Open,193.0,Daria Saville,R,166.0,29.8,69.0,965.0,152.0,496.0
114,206,Kaja Juvan,R,170.0,23.1,6-1 6-4,Australian Open,71.0,Anastasia Potapova,R,175.0,22.7,109.0,696.0,29.0,1694.0
115,210,Coco Gauff,R,175.0,19.8,6-3 6-0,Australian Open,60.0,Anna Karolina Schmiedlova,R,176.0,29.3,4.0,6660.0,68.0,996.0
116,214,Diane Parry,R,170.0,21.3,6-3 2-6 6-3,Australian Open,141.0,Xin Yu Wang,R,182.0,22.3,72.0,943.0,36.0,1353.0
117,215,Laura Siegemund,R,168.0,35.8,6-2 3-6 7-6(9),Australian Open,181.0,Ekaterina Alexandrova,R,175.0,29.1,78.0,892.0,20.0,2215.0
118,216,Storm Hunter,L,166.0,29.4,6-4 6-3,Australian Open,89.0,Sara Errani,R,164.0,36.7,180.0,426.0,101.0,738.0
119,219,Amanda Anisimova,R,180.0,22.3,6-3 6-4,Australian Open,84.0,Liudmila Samsonova,R,180.0,25.1,442.0,130.0,14.0,2760.0
120,220,Nadia Podoroska,R,170.0,26.9,6-1 6-0,Australian Open,75.0,Tamara Zidansek,R,168.0,26.0,65.0,1009.0,98.0,745.0
121,221,Paula Badosa,R,180.0,26.1,6-1 6-3,Australian Open,57.0,Taylor Townsend,L,170.0,27.7,100.0,738.0,73.0,942.0
122,222,Anastasia Pavlyuchenkova,R,177.0,32.5,6-4 6-4,Australian Open,109.0,Donna Vekic,R,179.0,27.5,46.0,1178.0,25.0,1865.0
123,224,Rebeka Masarova,R,186.0,24.4,6-3 6-4,Australian Open,97.0,Aliaksandra Sasnovich,R,174.0,29.8,91.0,786.0,81.0,843.0
124,227,Iga Swiatek,R,176.0,22.6,6-4 3-6 6-4,Australian Open,194.0,Danielle Collins,R,178.0,30.0,1.0,9880.0,62.0,1022.0
125,229,Elina Svitolina,R,174.0,29.3,6-1 6-3,Australian Open,65.0,Viktoriya Tomova,R,170.0,28.8,23.0,1972.0,70.0,957.0
126,230,Viktorija Golubic,R,169.0,31.2,6-3 2-6 6-4,Australian Open,137.0,Katerina Siniakova,R,174.0,27.6,85.0,829.0,49.0,1155.0
127,231,Jelena Ostapenko,R,177.0,26.6,6-0 3-6 6-4,Australian Open,102.0,Ajla Tomljanovic,R,180.0,30.6,10.0,3328.0,271.0,271.0
128,232,Victoria Azarenka,R,180.0,34.4,6-4 3-6 6-2,Australian Open,135.0,Clara Tauson,R,182.0,21.0,22.0,2011.0,96.0,749.0
129,235,Anna Blinkova,R,179.0,25.3,6-4 4-6 7-6(20),Australian Open,166.0,Elena Rybakina,R,184.0,24.5,57.0,1072.0,3.0,6918.0
130,236,Jasmine Paolini,R,160.0,28.0,6-2 6-3,Australian Open,70.0,Tatjana Maria,R,172.0,36.4,31.0,1530.0,42.0,1215.0
131,237,Anna Kalinskaya,R,175.0,25.1,6-1 7-5,Australian Open,82.0,Arantxa Rus,L,180.0,33.0,75.0,923.0,45.0,1188.0
132,238,Sloane Stephens,R,170.0,30.8,4-6 6-3 6-3,Australian Open,126.0,Daria Kasatkina,R,170.0,26.6,44.0,1202.0,13.0,2778.0
133,240,Yafan Wang,R,170.0,29.7,6-4 4-6 6-4,Australian Open,174.0,Emma Raducanu,R,175.0,21.1,94.0,771.0,296.0,231.0
134,242,Clara Burel,R,176.0,22.8,6-4 6-2,Australian Open,70.0,Jessica Pegula,R,170.0,29.8,51.0,1140.0,5.0,6065.0
135,244,Marta Kostyuk,R,175.0,21.5,5-7 6-1 7-6(6),Australian Open,173.0,Elise Mertens,R,179.0,28.1,37.0,1330.0,28.0,1713.0
136,247,Magdalena Frech,R,171.0,26.0,6-4 7-6(2),Australian Open,124.0,Caroline Garcia,R,177.0,30.2,69.0,965.0,19.0,2330.0
137,249,Alycia Parks,R,185.0,23.0,7-5 6-4,Australian Open,103.0,Leylah Fernandez,L,168.0,21.3,82.0,838.0,35.0,1355.0
138,250,Coco Gauff,R,175.0,19.8,7-6(2) 6-2,Australian Open,104.0,Caroline Dolehide,R,178.0,25.3,4.0,6660.0,43.0,1208.0
139,253,Storm Hunter,L,166.0,29.4,6-4 3-6 6-3,Australian Open,141.0,Laura Siegemund,R,168.0,35.8,180.0,426.0,78.0,892.0
140,254,Barbora Krejcikova,R,178.0,28.0,6-2 6-2,Australian Open,85.0,Tamara Korpatsch,R,170.0,28.6,11.0,2891.0,80.0,847.0
141,255,Amanda Anisimova,R,180.0,22.3,6-2 6-3,Australian Open,64.0,Nadia Podoroska,R,170.0,26.9,442.0,130.0,65.0,1009.0
142,256,Paula Badosa,R,180.0,26.1,6-2 6-3,Australian Open,72.0,Anastasia Pavlyuchenkova,R,177.0,32.5,100.0,738.0,46.0,1178.0
143,257,Lesia Tsurenko,R,174.0,34.6,6-3 6-4,Australian Open,96.0,Rebeka Masarova,R,186.0,24.4,33.0,1452.0,91.0,786.0
144,260,Elina Svitolina,R,174.0,29.3,6-2 6-3,Australian Open,64.0,Viktorija Golubic,R,169.0,31.2,23.0,1972.0,85.0,829.0
145,261,Victoria Azarenka,R,180.0,34.4,6-1 7-5,Australian Open,83.0,Jelena Ostapenko,R,177.0,26.6,22.0,2011.0,10.0,3328.0
146,263,Jasmine Paolini,R,160.0,28.0,7-6(1) 6-4,Australian Open,86.0,Anna Blinkova,R,179.0,25.3,31.0,1530.0,57.0,1072.0
147,264,Anna Kalinskaya,R,175.0,25.1,6-7(8) 6-1 6-4,Australian Open,165.0,Sloane Stephens,R,170.0,30.8,75.0,923.0,44.0,1202.0
148,270,Coco Gauff,R,175.0,19.8,6-0 6-2,Australian Open,61.0,Alycia Parks,R,185.0,23.0,4.0,6660.0,82.0,838.0
149,272,Barbora Krejcikova,R,178.0,28.0,4-6 7-5 6-3,Australian Open,150.0,Storm Hunter,L,166.0,29.4,11.0,2891.0,180.0,426.0
150,273,Amanda Anisimova,R,180.0,22.3,7-5 6-4,Australian Open,88.0,Paula Badosa,R,180.0,26.1,442.0,130.0,100.0,738.0
151,274,Aryna Sabalenka,R,182.0,25.6,6-0 6-0,Australian Open,52.0,Lesia Tsurenko,R,174.0,34.6,2.0,8905.0,33.0,1452.0
152,276,Dayana Yastremska,R,175.0,23.6,7-6(6) 6-4,Australian Open,127.0,Victoria Azarenka,R,180.0,34.4,93.0,777.0,22.0,2011.0
153,277,Anna Kalinskaya,R,175.0,25.1,6-4 6-2,Australian Open,77.0,Jasmine Paolini,R,160.0,28.0,75.0,923.0,31.0,1530.0
154,280,Coco Gauff,R,175.0,19.8,6-1 6-2,Australian Open,63.0,Magdalena Frech,R,171.0,26.0,4.0,6660.0,69.0,965.0
155,282,Aryna Sabalenka,R,182.0,25.6,6-3 6-2,Australian Open,70.0,Amanda Anisimova,R,180.0,22.3,2.0,8905.0,442.0,130.0
156,285,Coco Gauff,R,175.0,19.8,7-6(6) 6-7(3) 6-2,Australian Open,188.0,Marta Kostyuk,R,175.0,21.5,4.0,6660.0,37.0,1330.0
157,286,Aryna Sabalenka,R,182.0,25.6,6-2 6-3,Australian Open,71.0,Barbora Krejcikova,R,178.0,28.0,2.0,8905.0,11.0,2891.0
158,288,Aryna Sabalenka,R,182.0,25.6,7-6(2) 6-4,Australian Open,102.0,Coco Gauff,R,175.0,19.8,2.0,8905.0,4.0,6660.0
159,292,Lin Zhu,R,173.0,30.0,6-3 6-2,Hua Hin,84.0,Yafan Wang,R,170.0,29.7,45.0,1234.0,78.0,900.0
160,294,Xin Yu Wang,R,182.0,22.3,6-1 3-6 6-3,Hua Hin,132.0,Yulia Putintseva,R,163.0,29.0,40.0,1293.0,70.0,954.0
161,296,Lin Zhu,R,173.0,30.0,6-3 6-3,Hua Hin,75.0,Arina Rodionova,R,168.0,34.1,45.0,1234.0,101.0,722.0
162,299,Xin Yu Wang,R,182.0,22.3,7-5 6-4,Hua Hin,91.0,Nao Hibino,R,163.0,29.1,40.0,1293.0,94.0,788.0
163,300,Yulia Putintseva,R,163.0,29.0,7-6(0) 7-6(1),Hua Hin,131.0,Viktorija Golubic,R,169.0,31.2,70.0,954.0,71.0,949.0
164,301,Yafan Wang,R,170.0,29.7,6-2 6-4,Hua Hin,92.0,Anna Karolina Schmiedlova,R,176.0,29.3,78.0,900.0,79.0,896.0
165,307,Dalma Galfi,R,178.0,25.4,6-3 6-0,Hua Hin,68.0,Ajla Tomljanovic,R,180.0,30.7,137.0,556.0,227.0,341.0
166,311,Viktorija Golubic,R,169.0,31.2,6-1 6-2,Hua Hin,74.0,Laura Pigossi,R,164.0,29.4,71.0,949.0,114.0,641.0
167,317,Arina Rodionova,R,168.0,34.1,7-6(6) 4-6 6-3,Hua Hin,172.0,Yue Yuan,R,184.0,25.3,101.0,722.0,64.0,1028.0
168,321,Jelena Ostapenko,R,177.0,26.6,6-2 6-3,Linz,70.0,Ekaterina Alexandrova,R,175.0,29.2,12.0,3028.0,21.0,2095.0
169,322,Jelena Ostapenko,R,177.0,26.6,6-2 6-3,Linz,73.0,Anastasia Pavlyuchenkova,R,177.0,32.5,12.0,3028.0,42.0,1238.0
170,323,Ekaterina Alexandrova,R,175.0,29.2,5-7 7-6(4) 7-6(6),Linz,186.0,Donna Vekic,R,179.0,27.5,21.0,2095.0,34.0,1445.0
171,325,Anastasia Pavlyuchenkova,R,177.0,32.5,6-3 6-2,Linz,73.0,Elise Mertens,R,179.0,28.1,42.0,1238.0,26.0,1653.0
172,326,Donna Vekic,R,179.0,27.5,6-0 7-6(3),Linz,90.0,Clara Burel,R,176.0,22.8,34.0,1445.0,52.0,1160.0
173,327,Ekaterina Alexandrova,R,175.0,29.2,6-2 7-6(8),Linz,86.0,Anastasia Potapova,R,175.0,22.8,21.0,2095.0,27.0,1634.0
